# values from Fig. 8 of hep-ph/0612182
# m_d [GeV]   <q>/<q_a>
9.96223e-8    9.42168e-1
1.10849e-7    9.39370e-1
1.21987e-7    9.36771e-1
1.34738e-7    9.33973e-1
1.49372e-7    9.30975e-1
1.64986e-7    9.27976e-1
1.81562e-7    9.25178e-1
1.98338e-7    9.22579e-1
2.16664e-7    9.19981e-1
2.37557e-7    9.17183e-1
2.64329e-7    9.13985e-1
2.95203e-7    9.10587e-1
3.27264e-7    9.07588e-1
3.62807e-7    9.04390e-1
4.02210e-7    9.01392e-1
4.45893e-7    8.98394e-1
4.94320e-7    8.95396e-1
5.52058e-7    8.92197e-1
6.14273e-7    8.89199e-1
6.88552e-7    8.86001e-1
7.83265e-7    8.82403e-1
8.97592e-7    8.78805e-1
1.02106e-6    8.75607e-1
1.14032e-6    8.72809e-1
1.28766e-6    8.69810e-1
1.48105e-6    8.66412e-1
1.68478e-6    8.63214e-1
1.89547e-6    8.60216e-1
2.10908e-6    8.57418e-1
2.43479e-6    8.53620e-1
2.76971e-6    8.50022e-1
3.12758e-6    8.46024e-1
3.49288e-6    8.42027e-1
2.93780e-6    8.48023e-1
2.59208e-6    8.52021e-1
2.27027e-6    8.55619e-1
3.29304e-6    8.44225e-1
3.73224e-6    8.39628e-1
4.01748e-6    8.36630e-1
4.30862e-6    8.33432e-1
4.65502e-6    8.29834e-1
5.04782e-6    8.25837e-1
5.45365e-6    8.21640e-1
5.91384e-6    8.17043e-1
6.31910e-6    8.12845e-1
6.82713e-6    8.07848e-1
7.40322e-6    8.02452e-1
7.93973e-6    7.97455e-1
8.51511e-6    7.92059e-1
9.26770e-6    7.85663e-1
9.90279e-6    7.80067e-1
1.05038e-5    7.75070e-1
1.11823e-5    7.70073e-1
1.19486e-5    7.64277e-1
1.26737e-5    7.58881e-1
1.33934e-5    7.53684e-1
1.42062e-5    7.48288e-1
1.51798e-5    7.42292e-1
1.62200e-5    7.36296e-1
1.74596e-5    7.29700e-1
1.87249e-5    7.23304e-1
2.01560e-5    7.16509e-1
2.16964e-5    7.09913e-1
2.33545e-5    7.03317e-1
2.53253e-5    6.96122e-1
2.79726e-5    6.87728e-1
3.03329e-5    6.80932e-1
3.30139e-5    6.73937e-1
3.65994e-5    6.66142e-1
3.99811e-5    6.59346e-1
4.38364e-5    6.52751e-1
4.85973e-5    6.45755e-1
5.38753e-5    6.38960e-1
5.97266e-5    6.32364e-1
6.69488e-5    6.25768e-1
7.44937e-5    6.19772e-1
8.16769e-5    6.14575e-1
9.32547e-5    6.07780e-1
1.05692e-4    6.02183e-1
1.19349e-4    5.96587e-1
1.37274e-4    5.90790e-1
1.62013e-4    5.84594e-1
1.92625e-4    5.78997e-1
2.29021e-4    5.73401e-1
2.74307e-4    5.67804e-1
2.52032e-4    5.70402e-1
2.09650e-4    5.75999e-1
1.76333e-4    5.81796e-1
1.48857e-4    5.87792e-1
1.27527e-4    5.93788e-1
1.11694e-4    5.99385e-1
8.72740e-5    6.10978e-1
3.09749e-4    5.64206e-1
3.45928e-4    5.61008e-1
3.92066e-4    5.58010e-1
4.45996e-4    5.55011e-1
5.18678e-4    5.51413e-1
6.07664e-4    5.47816e-1
7.30506e-4    5.44417e-1
8.49554e-4    5.41819e-1
9.24640e-4    5.40020e-1
9.98978e-4    5.38421e-1
