# Values of C_e (m_d) from hep-ph/0612182 Fig. 4, Omega_d h^2 = 0.11 C_e(m_d) (theta m_d/0.1eV)^2
# m_d [keV]    C_e
1.005317e-1    9.097294e-1
1.113056e-1    9.048935e-1
1.224525e-1    9.007484e-1
1.338613e-1    8.966033e-1
1.472672e-1    8.924583e-1
1.630497e-1    8.876223e-1
1.782409e-1    8.834773e-1
1.948475e-1    8.793322e-1
2.116503e-1    8.751871e-1
2.313696e-1    8.710420e-1
2.513219e-1    8.668969e-1
2.729947e-1    8.627519e-1
2.984295e-1    8.586068e-1
3.241647e-1    8.544617e-1
3.498858e-1    8.503166e-1
3.898557e-1    8.447899e-1
4.316364e-1    8.392631e-1
4.809452e-1    8.337363e-1
5.291105e-1    8.282096e-1
5.820994e-1    8.226828e-1
6.363331e-1    8.171560e-1
7.000600e-1    8.109384e-1
7.604301e-1    8.054116e-1
8.312788e-1    7.991940e-1
9.029645e-1    7.929764e-1
9.808322e-1    7.867588e-1
1.065415e+0    7.798503e-1
1.142657e+0    7.736327e-1
1.225500e+0    7.674151e-1
1.331181e+0    7.598158e-1
1.445976e+0    7.515256e-1
1.560709e+0    7.432355e-1
1.684544e+0    7.349453e-1
1.829812e+0    7.252735e-1
1.987607e+0    7.149108e-1
2.159009e+0    7.045481e-1
2.330317e+0    6.941854e-1
2.515218e+0    6.838227e-1
2.697571e+0    6.734600e-1
2.893145e+0    6.630973e-1
3.122704e+0    6.520438e-1
3.370477e+0    6.402994e-1
3.591909e+0    6.299367e-1
3.779483e+0    6.223374e-1
4.027784e+0    6.119747e-1
4.265173e+0    6.023028e-1
4.516553e+0    5.933218e-1
4.813278e+0    5.829591e-1
5.129498e+0    5.725964e-1
5.466492e+0    5.622337e-1
5.788675e+0    5.532527e-1
6.129847e+0    5.435809e-1
6.491127e+0    5.345999e-1
6.873700e+0    5.256189e-1
7.278821e+0    5.166379e-1
7.707819e+0    5.076569e-1
8.214201e+0    4.979850e-1
8.809730e+0    4.876223e-1
9.448434e+0    4.779505e-1
1.019813e+1    4.675878e-1
1.086812e+1    4.592976e-1
1.158212e+1    4.510075e-1
1.234304e+1    4.427173e-1
1.323790e+1    4.344272e-1
1.428828e+1    4.254462e-1
1.542199e+1    4.171560e-1
1.654008e+1    4.095567e-1
1.785247e+1    4.019574e-1
1.939199e+1    3.943581e-1
2.119872e+1    3.860679e-1
2.317379e+1    3.784686e-1
2.565732e+1    3.708693e-1
2.858833e+1    3.632700e-1
3.165213e+1    3.570524e-1
3.549310e+1    3.501439e-1
3.904763e+1    3.446172e-1
4.491477e+1    3.377087e-1
5.166348e+1    3.314911e-1
5.904930e+1    3.259643e-1
6.967272e+1    3.197467e-1
8.065302e+1    3.149108e-1
9.336379e+1    3.107657e-1
1.067111e+2    3.073115e-1
1.251106e+2    3.031664e-1
1.439092e+2    2.997121e-1
1.676524e+2    2.962579e-1
1.953130e+2    2.928037e-1
2.275372e+2    2.900403e-1
2.667700e+2    2.865861e-1
3.088125e+2    2.838227e-1
3.620591e+2    2.810593e-1
4.191190e+2    2.782959e-1
5.008552e+2    2.755325e-1
5.872145e+2    2.727691e-1
7.062118e+2    2.700058e-1
8.439364e+2    2.672424e-1
1.008520e+3    2.644790e-1
