# values for lower limit DW production of Omega_d h^2 = 0.11 from hep-ph/0612182 Fig. 5
# m_d [GeV]              sin^2 (2 theta) * (m_d/keV)^2
9.966078e-8    1.744960e-8
1.193481e-7    1.767564e-8
1.392908e-7    1.790460e-8
1.646726e-7    1.819498e-8
1.897300e-7    1.837146e-8
2.257517e-7    1.866941e-8
2.567754e-7    1.885049e-8
3.074997e-7    1.921794e-8
3.520166e-7    1.940435e-8
4.215551e-7    1.978260e-8
4.733523e-7    1.997448e-8
5.705213e-7    2.036384e-8
6.531160e-7    2.062763e-8
7.771153e-7    2.109750e-8
8.839094e-7    2.137079e-8
1.065357e-6    2.185758e-8
1.203986e-6    2.221207e-8
1.432572e-6    2.279125e-8
1.629442e-6    2.323552e-8
1.938804e-6    2.391822e-8
2.205242e-6    2.454188e-8
2.590355e-6    2.534438e-8
2.946331e-6    2.608904e-8
3.438653e-6    2.720345e-8
3.886105e-6    2.800273e-8
4.564755e-6    2.938739e-8
5.092739e-6    3.044614e-8
5.867675e-6    3.184898e-8
6.631202e-6    3.331646e-8
7.640236e-6    3.507656e-8
8.523948e-6    3.669275e-8
9.820992e-6    3.875572e-8
1.088662e-5    4.041120e-8
1.246269e-5    4.282078e-8
1.381496e-5    4.479379e-8
1.591710e-5    4.761766e-8
1.764420e-5    4.965169e-8
2.019856e-5    5.261225e-8
2.253483e-5    5.503642e-8
2.613154e-5    5.831805e-8
2.878106e-5    6.061381e-8
3.294771e-5    6.381601e-8
3.675862e-5    6.632820e-8
4.290086e-5    7.005734e-8
4.786301e-5    7.258132e-8
5.622156e-5    7.617028e-8
6.272445e-5    7.866098e-8
7.367834e-5    8.228538e-8
8.273131e-5    8.497603e-8
9.843851e-5    8.860585e-8
1.098244e-4    9.091623e-8
1.306755e-4    9.449525e-8
1.495935e-4    9.695920e-8
1.745900e-4    1.001297e-7
1.960422e-4    1.020815e-7
2.362854e-4    1.054195e-7
2.670319e-4    1.078208e-7
3.197823e-4    1.106322e-7
3.613937e-4    1.127888e-7
4.300072e-4    1.157297e-7
4.859616e-4    1.176066e-7
5.819601e-4    1.206732e-7
6.576872e-4    1.222364e-7
7.978163e-4    1.254236e-7
8.958453e-4    1.270483e-7
1.012417e-3    1.291088e-7
