# values for upper limit DW production of Omega_d h^2 = 0.11 from hep-ph/0612182 Fig. 5
# m_d [GeV]              sin^2 (2 theta) * (m_d/keV)^2
1.026472e-7    6.234330e-8
1.193211e-7    6.346048e-8
1.387035e-7    6.472314e-8
1.612343e-7    6.608979e-8
1.874251e-7    6.754575e-8
2.178702e-7    6.911627e-8
2.532608e-7    7.089240e-8
2.944002e-7    7.275760e-8
3.409980e-7    7.496859e-8
3.949713e-7    7.730280e-8
4.542201e-7    8.002301e-8
5.223568e-7    8.301931e-8
5.985655e-7    8.635581e-8
6.858925e-7    9.001429e-8
7.831484e-7    9.402002e-8
8.878082e-7    9.844720e-8
1.010068e-6    1.032324e-7
1.140957e-6    1.084119e-7
1.284197e-6    1.141138e-7
1.450609e-6    1.200438e-7
1.626883e-6    1.266055e-7
1.837701e-6    1.335601e-7
2.061013e-6    1.410049e-7
2.311461e-6    1.489027e-7
2.583068e-6    1.571625e-7
2.886591e-6    1.660503e-7
3.237361e-6    1.754407e-7
3.630755e-6    1.851252e-7
4.086573e-6    1.954276e-7
4.583160e-6    2.063385e-7
5.158546e-6    2.174502e-7
5.785397e-6    2.289845e-7
6.535094e-6    2.411923e-7
7.381940e-6    2.534665e-7
8.338524e-6    2.662291e-7
9.486822e-6    2.791340e-7
1.079325e-5    2.922155e-7
1.232368e-5    3.054407e-7
1.407111e-5    3.184487e-7
1.612400e-5    3.315861e-7
1.854272e-5    3.441778e-7
2.124800e-5    3.571562e-7
2.461114e-5    3.691098e-7
2.850660e-5    3.803751e-7
3.290051e-5    3.916669e-7
3.824484e-5    4.016119e-7
4.445729e-5    4.107046e-7
5.167888e-5    4.196272e-7
6.050568e-5    4.268282e-7
7.058667e-5    4.338936e-7
8.234728e-5    4.402867e-7
9.641226e-5    4.447781e-7
1.128796e-4    4.491811e-7
1.316867e-4    4.531134e-7
1.541789e-4    4.562078e-7
1.805128e-4    4.586657e-7
2.113445e-4    4.611368e-7
2.474423e-4    4.627916e-7
2.897056e-4    4.641197e-7
3.391876e-4    4.652849e-7
3.971211e-4    4.661190e-7
4.649497e-4    4.661190e-7
5.443634e-4    4.669546e-7
6.373412e-4    4.677916e-7
7.461995e-4    4.677916e-7
8.736510e-4    4.677916e-7
9.930494e-4    4.676359e-7
