x_nu,x_N,hubble,ent,y_n,y_rho,xi_N,xi_A,y_N1,y_N2,y_A,coll_n,coll_A_N2nu,coll_AA_NN
1.0581315797126106e-5,8.43434253180319e-6,1.870493999310658e-20,0.04866360027250874,6.909286131104208e-14,1.12278818220616e-13,-27.56092413312527,-55.12184826625054,3.454643065546493e-14,3.454643065546493e-14,5.558238453557368e-26,1.6963105314514223e-37,1.7579412352094875e-49,1.6963105314496643e-37
1.0581326378447186e-5,8.434356230902965e-6,1.8704883805407276e-20,0.048663363793118954,6.90928616133685e-14,1.12278818220616e-13,-27.56092411562265,-55.1218482312453,3.45464308066283e-14,3.45464308066283e-14,5.558238575162039e-26,1.6962993367493095e-37,1.7579364814642535e-49,1.6962993367475515e-37
1.0581868891796193e-5,8.435058606933281e-6,1.870200331561152e-20,0.04865124114980857,6.909287711392761e-14,1.122788182206164e-13,-27.560923218247297,-55.12184643649459,3.4546438556908674e-14,3.4546438556908674e-14,5.558244809948453e-26,1.6957254888102674e-37,1.7576927763951087e-49,1.6957254888085096e-37
1.058729555535258e-5,8.442085590679887e-6,1.8673222803607253e-20,0.04853018068712374,6.90930321659229e-14,1.1227881822061759e-13,-27.56091424181857,-55.12182848363714,3.4546516082905593e-14,3.4546516082905593e-14,5.558307176782819e-26,1.6899976754991279e-37,1.755257573088681e-49,1.6899976754973726e-37
1.0641715488190268e-5,8.512647166932815e-6,1.8387950944992805e-20,0.047336548359461446,6.909458733235972e-14,1.1227881822062876e-13,-27.560824209646196,-55.12164841929239,3.454729366612398e-14,3.454729366612398e-14,5.558932745060667e-26,1.6337976960105425e-37,1.731096777470335e-49,1.6337976960088114e-37
1.120153937685166e-5,9.249907400281122e-6,1.576771455446997e-20,0.036921585359550424,6.911060537170275e-14,1.1227881822075042e-13,-27.559897006316003,-55.119794012632006,3.4555302685470346e-14,3.4555302685470346e-14,5.565379306182547e-26,1.165848630487261e-37,1.5072765978891539e-49,1.1658486304857538e-37
1.2513672443758552e-5,1.0959843629149137e-5,1.1471874079948695e-20,0.022231096938683012,6.914676295724045e-14,1.1227881822107193e-13,-27.55780481583739,-55.11560963167478,3.457338149232542e-14,3.457338149232542e-14,5.579953148328602e-26,5.854001731006845e-38,1.1300753550009765e-49,5.854001730995544e-38
1.4440818001864048e-5,1.3260107182450397e-5,7.96289243833595e-21,0.012578359764554431,6.919407432826748e-14,1.1227881822159249e-13,-27.555068884743175,-55.11013776948635,3.459703718072154e-14,3.459703718072154e-14,5.599068775650877e-26,2.701636092829204e-38,8.050042067485092e-50,2.701636092821154e-38
1.8104273470906552e-5,1.7225189925917873e-5,4.779418758996978e-21,0.005757855426216209,6.927312872068589e-14,1.1227881822271857e-13,-27.55050148052211,-55.10100296104422,3.4636564494826096e-14,3.4636564494826096e-14,5.631126728395936e-26,9.353962731993454e-39,4.934179404659847e-50,9.353962731944112e-39
2.3677465538349248e-5,2.31466792175315e-5,2.6867531116208554e-21,0.00238468723210895,6.93872539377026e-14,1.1227881822494321e-13,-27.543917034711157,-55.087834069422314,3.469362705773e-14,3.469362705773e-14,5.677665288271385e-26,2.8293239891324505e-39,2.81211613127427e-50,2.8293239891043294e-39
3.628047088324034e-5,3.686775795425356e-5,1.0866202548274713e-21,0.0005966113088774892,6.963983815200958e-14,1.1227881823259001e-13,-27.52938264184525,-55.0587652836905,3.4819918759540245e-14,3.4819918759540245e-14,5.781759733991752e-26,4.330343932660403e-40,1.1605741229400617e-50,4.330343932544346e-40
6.454581467179861e-5,6.977534880246238e-5,3.1604003826035435e-22,9.017744462823984e-5,7.020723283724288e-14,1.1227881826502013e-13,-27.49692450229541,-54.99384900459082,3.510361437010194e-14,3.510361437010194e-14,6.021164752183405e-26,3.379040096855679e-41,3.517453530837485e-51,3.3790400965039337e-41
0.0001266906237075225,0.00014387719004367225,7.754011748776177e-23,1.0821345463893601e-5,7.140570297056768e-14,1.1227881840954998e-13,-27.429215171225987,-54.858430342451975,3.570298202522287e-14,3.570298202522287e-14,6.552981573024234e-26,1.980258614190466e-42,9.205601785554235e-52,1.980258613269906e-42
0.00020536426779044646,0.00023846880841868462,2.942508620156505e-23,2.5282552268708337e-6,7.28929873696201e-14,1.1227881873459514e-13,-27.34675977423406,-54.69351954846812,3.64465023187856e-14,3.64465023187856e-14,7.264407786176162e-26,2.9199938536361837e-43,3.7033176237541625e-52,2.919993849932866e-43
