x_nu,x_N,hubble,ent,y_n,y_rho,xi_N,xi_A,y_N1,y_N2,y_A,coll_n,coll_A_N2nu,coll_AA_NN
1.5648423937351156e-5,1.1457627025085615e-5,3.24251250567255e-20,0.11950369931955025,2.7302801903320186e-7,4.3540484552081377e-7,-12.314810114747203,-24.629620229494407,1.3651309115921169e-7,1.3651309115921169e-7,9.1835738920112e-13,8.87592545773166e-36,9.532488990304396e-42,8.87591592524267e-36
1.5648439585782905e-5,1.14576429623671e-5,3.2425042160672415e-20,0.11950320064069433,2.7302801903320524e-7,4.3540484552081377e-7,-12.31481011474715,-24.6296202294943,1.3651309115921383e-7,1.3651309115921383e-7,9.183573892011826e-13,8.875874998897146e-36,9.532465657997014e-42,8.875865466431489e-36
1.564910790527148e-5,1.1458323623981098e-5,3.2421502078001293e-20,0.11948190527195648,2.73028019033343e-7,4.3540484552081456e-7,-12.314810114745132,-24.629620229490264,1.3651309115928204e-7,1.3651309115928204e-7,9.183573892034751e-13,8.873720297465154e-36,9.53146924737322e-42,8.873710765995906e-36
1.5655792670214628e-5,1.1465132464492484e-5,3.2386122501672435e-20,0.1192691601879545,2.7302801903471746e-7,4.354048455208207e-7,-12.314810114724922,-24.629620229449845,1.3651309115996946e-7,1.3651309115996946e-7,9.183573892264708e-13,8.852202018268583e-36,9.521510849215399e-42,8.852192496757734e-36
1.5722797573773237e-5,1.153343607144035e-5,3.203446950010656e-20,0.11716266821029382,2.7302801904852675e-7,4.354048455208787e-7,-12.314810114521826,-24.629620229043653,1.365130911668741e-7,1.365130911668741e-7,9.183573894575424e-13,8.639890766079726e-36,9.42250271512998e-42,8.63988134357701e-36
1.6408823376192815e-5,1.2267309128711376e-5,2.860633462114597e-20,0.09736827237490163,2.730280191932561e-7,4.3540484552150987e-7,-12.314810112392745,-24.62962022478549,1.3651309123923637e-7,1.3651309123923637e-7,9.18357391878548e-13,6.714400428394453e-36,8.464882347917362e-42,6.714391963512104e-36
2.0372901254866646e-5,1.724863645505547e-5,1.5257877012314067e-20,0.035026850648333906,2.7302802013102967e-7,4.3540484552685195e-7,-12.314810098580633,-24.629620197161266,1.365130917081072e-7,1.365130917081072e-7,9.183574075400015e-13,1.6666095305281654e-36,4.755706263223223e-42,1.6666047748219023e-36
5.913566546895245e-5,6.0236616264251026e-5,1.3399358540248056e-21,0.000822401186360138,2.73028027312421e-7,4.35404845650446e-7,-12.314809991692984,-24.629619983385968,1.3651309530298832e-7,1.3651309530298832e-7,9.183575258699364e-13,9.941168813490968e-39,4.539522380391191e-43,9.940714861252929e-39
0.00021968881381251648,0.00024589613611767616,8.347820520502575e-23,1.2089558537957263e-5,2.7302805212592376e-7,4.3540484773932906e-7,-12.314809600004617,-24.629619200009234,1.3651310769967777e-7,1.3651310769967777e-7,9.183579004712291e-13,3.0706137271818697e-41,2.9374626487311085e-44,3.0676762645331386e-41
0.0025884122602081792,0.0029078984143263865,5.983553834678923e-25,7.3102128353141426e-9,2.7302834124052535e-7,4.3540519704852895e-7,-12.314801440815248,-24.629602881630497,1.3651325686760653e-7,1.3651325686760653e-7,9.183562784784886e-13,1.3194495593589557e-45,2.1064185241565297e-46,1.1088077069433027e-45
0.01946022978794969,0.021888527692289446,1.1102385705601195e-26,1.714335132176454e-11,2.730370312788901e-7,4.354272228192912e-7,-12.314473403392451,-24.628946806784903,1.3651757212897073e-7,1.3651757212897073e-7,9.18120926071413e-13,3.9372430011020734e-48,3.708594888695495e-48,2.28648112406578e-49
0.09262929478158737,0.1043322623313164,5.115356801587617e-28,1.594592437440258e-13,2.737361843967576e-7,4.3622986295183216e-7,-12.302055710072626,-24.60411142014525,1.368673688324925e-7,1.368673688324925e-7,9.197805326870915e-13,1.5788578826901034e-49,1.5761442439789133e-49,2.7136387111901993e-52
0.2690356390151212,0.3142801631175807,6.06439512491048e-29,6.508368327877569e-15,2.8803590115843787e-7,4.485691338530648e-7,-12.120632126444391,-24.241264252888783,1.4402684672362887e-7,1.4402684672362887e-7,1.0533118248602504e-12,1.711110068576359e-50,1.7108875407747733e-50,2.2252780158574628e-54
0.35797479263885235,0.43611577347065217,3.4253575761719553e-29,2.762766798022242e-15,3.0760372296822317e-7,4.6525073774280426e-7,-11.908072193337668,-23.816144386675337,1.5380129656189196e-7,1.5380129656189196e-7,1.2753798342412114e-12,9.708472865513721e-51,9.707871130958515e-51,6.0173455520620215e-55
0.4664932095102853,0.6128525503071262,2.0170871091857008e-29,1.2484339998011208e-15,3.503997286452489e-7,5.031473647395937e-7,-11.511226439690164,-23.022452879380328,1.7519992758620385e-7,1.7519992758620385e-7,1.852958229492436e-12,6.119911133912573e-51,6.119731361761944e-51,1.7977215062870954e-55
0.5659139866693174,0.8133439155550172,1.3706247613701212e-29,6.992786737020643e-16,4.18065292651291e-7,5.664981806141989e-7,-11.006929397729767,-22.013858795459534,2.0903138939123668e-7,2.0903138939123668e-7,2.989860405898909e-12,4.704872650185373e-51,4.704798917813006e-51,7.373237236678652e-56
