x1,x2,x3,x4,x5,x6,x7
-10.0,-2.1895430196973306e-43,-2.1895430196973426e-43,5.3809861030072976e-42,-3.758872782393518e-48,-3.758872782393501e-48,7.663350976776343e-47
-9.8940625,-2.189540208973844e-43,-2.1895401724017668e-43,1.647059937818587e-35,-3.758869589850504e-48,-3.7588695483084246e-48,1.8708889337911275e-40
-9.788125,-2.1895370841391327e-43,-2.1895370232536423e-43,2.7420387191379187e-35,-3.758866040508364e-48,-3.758865971347961e-48,3.1147076429647093e-40
-9.6821875,-2.189533610089059e-43,-2.1895335415887424e-43,3.084980012440705e-35,-3.7588620944880895e-48,-3.758862016676946e-48,3.504302362160417e-40
-9.57625,-2.189529747796172e-43,-2.1895296936094526e-43,2.4403528902516584e-35,-3.758857707452702e-48,-3.758857645899772e-48,2.7720975307280513e-40
-9.4703125,-2.189525453871181e-43,-2.189525442041807e-43,5.3274765010017724e-36,-3.758852830108751e-48,-3.758852816671097e-48,6.051781382984142e-41
-9.364375,-2.189520680075413e-43,-2.189520634733416e-43,2.0420220039552983e-35,-3.758847407652011e-48,-3.758847356145009e-48,2.3196691357742316e-40
-9.2584375,-2.1895153727787525e-43,-2.1895152840780737e-43,3.9947234411641883e-35,-3.758841379151133e-48,-3.758841278388251e-48,4.5379567908745195e-40
-9.1525,-2.189509472356985e-43,-2.1895093590240515e-43,5.104061581202219e-35,-3.7588346768623045e-48,-3.7588345481145286e-48,5.798284355997154e-40
-9.0465625,-2.1895029125217466e-43,-2.1895027991236216e-43,5.106997536903121e-35,-3.758827225467179e-48,-3.7588270966421967e-48,5.801761437288202e-40
-8.940625,-2.189495619575551e-43,-2.1894955374352208e-43,3.6992716102346044e-35,-3.758818941225454e-48,-3.7588188479080205e-48,4.202643584592395e-40
-8.8346875,-2.1894875115835106e-43,-2.1894874997867116e-43,5.312805959856737e-36,-3.758809731032516e-48,-3.7588097176300573e-48,6.035930836253106e-41
-8.72875,-2.189478497452419e-43,-2.18947842210586e-43,3.393307359297843e-35,-3.758799491371522e-48,-3.7587994057687176e-48,3.8552075865545545e-40
-8.6228125,-2.1894684759068354e-43,-2.189468329568758e-43,6.590481111352454e-35,-3.758788107147988e-48,-3.758787940884251e-48,7.487853041332069e-40
-8.516875,-2.189457334350634e-43,-2.1894571382773768e-43,8.830354476808027e-35,-3.7587754503937625e-48,-3.758775227613782e-48,1.00331183663806e-39
-8.4109375,-2.189444947601191e-43,-2.1894447293735313e-43,9.82810007687282e-35,-3.758761378825585e-48,-3.7587611308622947e-48,1.1167273811479635e-39
