m_N,sin2_2theta,theta,y,y_pyt,omega_h2,converged,plateau_ok,retcode,branch
3.000000000000001e-6,1.0e-15,1.58113883008419e-8,0.0005221978091983541,0.0018089462742654154,0.12005243816229529,true,true,Success,1
3.000000000000001e-6,3.727593720314938e-15,3.0527011482926656e-8,0.0002596083344161448,0.0008993096505541896,0.11981101152277382,true,true,Success,1
3.000000000000001e-6,1.389495494373136e-14,5.893843173967947e-8,0.0001286005619802252,0.000445485414463321,0.12007143621074999,true,true,Success,1
3.000000000000001e-6,5.1794746792312023e-14,1.137922963037403e-7,6.340536376214303e-5,0.0002196426230168365,0.11998460283233332,true,true,Success,1
3.000000000000001e-6,1.9306977288832536e-13,2.196985280380468e-7,3.1080142765926604e-5,0.00010766477275415834,0.12031679623806024,true,true,Success,1
3.000000000000001e-6,7.196856730011528e-13,4.241714491220872e-7,1.512143468517069e-5,5.238218631609985e-5,0.1200057772541123,true,true,Success,1
3.000000000000001e-6,2.6826957952797272e-12,8.189468534773984e-7,7.296728314870469e-6,2.5276608340764177e-5,0.11995255718309587,true,true,Success,1
3.000000000000001e-6,1.0e-11,1.581138830086825e-6,3.4749520210578054e-6,1.2037586908672548e-5,0.11999603249303677,true,true,Success,1
6.0491869109830035e-6,1.0e-15,1.58113883008419e-8,0.0007114320906079834,0.0024644730541359444,0.11999956327337612,true,true,Success,1
6.0491869109830035e-6,3.727593720314938e-15,3.0527011482926656e-8,0.00035241815588498966,0.0012208123030050615,0.11999981110890126,true,true,Success,1
6.0491869109830035e-6,1.389495494373136e-14,5.893843173967947e-8,0.00017360329924361156,0.0006013794693030377,0.11999751975464101,true,true,Success,1
6.0491869109830035e-6,5.1794746792312023e-14,1.137922963037403e-7,8.52043572814207e-5,0.00029515655167534373,0.12000517516028959,true,true,Success,1
6.0491869109830035e-6,1.9306977288832536e-13,2.196985280380468e-7,4.149436930486072e-5,0.00014374071172809047,0.12000000355739637,true,true,Success,1
6.0491869109830035e-6,7.196856730011528e-13,4.241714491220872e-7,2.001503054816748e-5,6.933409964893847e-5,0.12123206332523524,true,true,Success,1
6.0491869109830035e-6,2.6826957952797272e-12,8.189468534773984e-7,9.543414715990702e-6,3.30593583315928e-5,0.11999801429608206,true,true,Success,1
6.0491869109830035e-6,1.0e-11,1.581138830086825e-6,4.4647624950760475e-6,1.5466390970399407e-5,0.11961525124753117,true,true,Success,1
1.219755409466936e-5,1.0e-15,1.58113883008419e-8,0.000963789367796371,0.003338664305636004,0.12004179188330868,true,true,Success,1
1.219755409466936e-5,3.727593720314938e-15,3.0527011482926656e-8,0.0004752439178200189,0.0016462932233047218,0.1199996406691568,true,true,Success,1
1.219755409466936e-5,1.389495494373136e-14,5.893843173967947e-8,0.00023293016492728345,0.0008068937605389061,0.12000436206915577,true,true,Success,1
1.219755409466936e-5,5.1794746792312023e-14,1.137922963037403e-7,0.00011352463600275633,0.00039326087493507387,0.12000920265565808,true,true,Success,1
1.219755409466936e-5,1.9306977288832536e-13,2.196985280380468e-7,5.4786583458757925e-5,0.0001897862922473627,0.12010351230381626,true,true,Success,1
1.219755409466936e-5,7.196856730011528e-13,4.241714491220872e-7,2.6078270790616733e-5,9.033777996577515e-5,0.11699205340618996,true,true,Success,1
1.219755409466936e-5,2.6826957952797272e-12,8.189468534773984e-7,1.2244609184155497e-5,4.241657045156364e-5,0.12044753681495446,true,true,Success,1
1.219755409466936e-5,1.0e-11,1.581138830086825e-6,5.586467039575303e-6,1.935208949470664e-5,0.11989388632664441,true,true,Success,1
2.4595094858493616e-5,3.727593720314938e-15,3.0527011482926656e-8,0.000635440701408294,0.0022012311600727386,0.12001151965954568,true,true,Success,1
2.4595094858493616e-5,1.389495494373136e-14,5.893843173967947e-8,0.00030930869177298037,0.0010714767387469272,0.11980482349615716,true,true,Success,1
2.4595094858493616e-5,5.1794746792312023e-14,1.137922963037403e-7,0.00014925163528538312,0.0005170228308540467,0.11898801093833726,true,true,Success,1
2.4595094858493616e-5,1.9306977288832536e-13,2.196985280380468e-7,7.107917808817293e-5,0.0002462254956179039,0.11993512537546279,true,true,Success,1
2.4595094858493616e-5,7.196856730011528e-13,4.241714491220872e-7,3.3368368645454776e-5,0.00011559141971923189,0.12022167727815886,true,true,Success,1
2.4595094858493616e-5,2.6826957952797272e-12,8.189468534773984e-7,1.5233267365411103e-5,5.2769586084345846e-5,0.12026458875644465,true,true,Success,1
2.4595094858493616e-5,1.0e-11,1.581138830086825e-6,6.637387989040362e-6,2.299258645313065e-5,0.12000818760846473,true,true,Success,1
4.95934419641283e-5,3.727593720314938e-15,3.0527011482926656e-8,0.0008403469958431061,0.0029110473855762636,0.11989260080029723,true,true,Success,1
4.95934419641283e-5,1.389495494373136e-14,5.893843173967947e-8,0.000404639988021096,0.0014017140360532002,0.11929811347400997,true,true,Success,1
4.95934419641283e-5,5.1794746792312023e-14,1.137922963037403e-7,0.00019316899899858903,0.0006691570414255556,0.12003037966979352,true,true,Success,1
4.95934419641283e-5,1.9306977288832536e-13,2.196985280380468e-7,9.044973742626991e-5,0.0003133270815071274,0.12028362395679344,true,true,Success,1
4.95934419641283e-5,7.196856730011528e-13,4.241714491220872e-7,4.125251595586276e-5,0.00014290290715120017,0.12018264317454183,true,true,Success,1
4.95934419641283e-5,2.6826957952797272e-12,8.189468534773984e-7,1.7945832713783746e-5,6.216618808881022e-5,0.11902710816067488,true,true,Success,1
4.95934419641283e-5,1.0e-11,1.581138830086825e-6,7.07385707733278e-6,2.4504559726842117e-5,0.1206862450542048,true,true,Success,1
0.0001,1.389495494373136e-14,5.893843173967947e-8,0.0005214495820725872,0.0018063543394705563,0.11998793918473181,true,true,Success,1
