m_N,y,sin2_2theta,omega_h2_scan,omega_h2,converged,retcode,lambda_fs_Mpc,lambda_fs_eq_Mpc,lambda_fs_free_Mpc,v_end,x_kd,lambda_fs_kd_Mpc,r_s_Mpc,x_kd3,lambda_fs_kd3_Mpc,r_s3_Mpc,x_kd_old,lambda_fs_kd_old_Mpc,r_s_old_Mpc
6.0e-7,1.0e-8,1.1899341584222952e-7,0.11946666287163793,0.11946666287163793,true,Success,2.728915998522135,1.4719872269722902,1.2569287715498443,0.027297735092772606,3.999999999999999,2.3076490570633723,0.17377233978311668,3.999999999999999,2.3076490570633723,0.17377233978311668,3.999999999999999,2.3076490570633723,0.17377233978311668
6.0e-7,1.778e-8,8.854631073351464e-8,0.11945094723009538,0.11945094723009538,true,Success,2.6356831692328853,1.4271943774226663,1.208488791810219,0.026246734439484266,3.999999999999999,2.2116635358818217,0.1712338304623309,3.999999999999999,2.2116635358818217,0.1712338304623309,3.999999999999999,2.2116635358818217,0.1712338304623309
6.0e-7,3.162e-8,5.386705496371596e-8,0.11976185064636238,0.11976185064636238,true,Success,2.594259717742581,1.4050784273395909,1.18918129040299,0.02582778683031971,3.999999999999999,2.1596170955291316,0.1676464842527003,3.999999999999999,2.1596170955291316,0.1676464842527003,3.999999999999999,2.1596170955291316,0.1676464842527003
6.0e-7,5.623e-8,2.73830808690146e-8,0.1195989001788085,0.1195989001788085,true,Success,2.6392704430522955,1.4231812267420267,1.216089216310269,0.0264116485864075,3.999999999999999,2.1868945764031427,0.16359620900216304,3.999999999999999,2.1868945764031427,0.16359620900216304,3.999999999999999,2.1868945764031427,0.16359620900216304
6.0e-7,1.0e-7,1.2307750842646483e-8,0.11967768762161565,0.11967768762161565,true,Success,2.727543406050825,1.4615367393234147,1.2660066667274106,0.027494684284484924,3.999999999999999,2.252895351942837,0.1542353144383328,3.999999999999999,2.252895351942837,0.1542353144383328,3.999999999999999,2.252895351942837,0.1542353144383328
6.0e-7,1.778e-7,5.109244575669442e-9,0.11972519646184719,0.11972519646184719,true,Success,2.81842218693238,1.5010783823086258,1.317343804623754,0.02860838435648423,3.999999999999999,2.322017260027712,0.13383972644138212,3.999999999999999,2.322017260027712,0.13383972644138212,3.999999999999999,2.322017260027712,0.13383972644138212
6.0e-7,3.162e-7,2.0114354850374195e-9,0.11984032172859163,0.11984032172859163,true,Success,2.8961636806195066,1.5350617686079235,1.3611019120115833,0.029557551498130483,3.999999999999999,2.379764677870819,0.11301986248000595,3.999999999999999,2.379764677870819,0.11301986248000595,3.999999999999999,2.379764677870819,0.11301986248000595
6.0e-7,5.623e-7,7.637234825061432e-10,0.11996597068719428,0.11996597068719428,true,Success,2.9609402582763114,1.5634185909314036,1.3975216673449078,0.030347457685977654,3.999999999999999,2.4261265502334433,0.09675789834718403,3.999999999999999,2.4261265502334433,0.09675789834718403,3.999999999999999,2.4261265502334433,0.09675789834718403
6.0e-7,1.0e-6,2.823733139492767e-10,0.12000173189441415,0.12000173189441415,true,Success,3.0152014817676207,1.5870339962283886,1.4281674855392323,0.03101207319700458,3.999999999999999,2.4637690919018547,0.08580403858598178,3.999999999999999,2.4637690919018547,0.08580403858598178,3.999999999999999,2.4637690919018547,0.08580403858598178
6.0e-7,1.778e-6,1.023826355672509e-10,0.12016820506536574,0.12016820506536574,true,Success,3.0606814082510048,1.6069189602671223,1.4537624479838829,0.03156710787808976,3.999999999999999,2.495110670873009,0.07579693200671868,3.999999999999999,2.495110670873009,0.07579693200671868,3.999999999999999,2.495110670873009,0.07579693200671868
6.0e-7,3.162e-6,3.653479914246091e-11,0.11999044945455895,0.11999044945455895,true,Success,3.10087668883419,1.6242701927234582,1.476606496110732,0.03206245447645626,3.999999999999999,2.5206332301583982,0.06730531156583199,3.999999999999999,2.5206332301583982,0.06730531156583199,3.999999999999999,2.5206332301583982,0.06730531156583199
6.0e-7,5.623e-6,1.2877190959766016e-11,0.11989794546064371,0.11989794546064371,true,Success,3.135904525964268,1.6394276426510583,1.4964768833132098,0.03249329449132282,3.999999999999999,2.5422955791799833,0.060799656210852294,3.999999999999999,2.5422955791799833,0.060799656210852294,6.022328921952958,2.5887295965535437,0.15864990429006948
6.0e-7,1.0e-5,4.492228348873167e-12,0.11997952019064823,0.11997952019064823,true,Success,3.1677780130160977,1.6530955595954506,1.5146824534206471,0.03288801538784857,3.999999999999999,2.5620451260911534,0.05517583461934651,3.999999999999999,2.5620451260911534,0.05517583461934651,16.84885399585292,2.2531991903239827,0.4660172004549505
6.0e-7,1.778e-5,1.554492004074947e-12,0.11997108086878129,0.11997108086878129,true,Success,3.197225294647716,1.6655246107359545,1.5317006839117615,0.03325697419427108,3.999999999999999,2.5779340062468865,0.049154758484521305,3.999999999999999,2.5779340062468865,0.049154758484521305,52.402306687916905,1.8083254646188813,0.8492855621965446
6.0e-7,3.162e-5,5.338605011769609e-13,0.11998102399648876,0.11998102399648876,true,Success,3.221582813866285,1.6761557057948393,1.5454271080714457,0.03355455243700646,3.999999999999999,2.591945695531349,0.04429944522730225,3.999999999999999,2.591945695531349,0.04429944522730225,161.97892531470302,1.3467448309674366,1.2332634269681173
6.0e-7,5.623e-5,1.8217805649951017e-13,0.11991929555777561,0.11991929555777561,true,Success,3.2450570760812605,1.68607635529953,1.5589807207817308,0.03384837230770535,14.032449739683695,2.392102060034033,0.39844594044513554,7.565504612765459,2.6270501052500363,0.20275998150924657,484.66713216233467,0.9308431809457706,1.5833431851099486
6.0e-7,0.0001,6.173774047959671e-14,0.12010700554367416,0.12010700554367416,true,Success,3.264135847832689,1.6940205012972742,1.570115346535415,0.03408974359568459,45.80440651545487,1.9107564589712325,0.8053310617757754,26.367553096321288,2.147089791314562,0.612068350359893,1373.0240522213317,0.5920691703939879,1.867630759561993
