m_N,y,sin2_2theta,omega_h2,converged,plateau_ok,retcode,branch,slope,n_failed
6.2739999999999996e-6,1.0e-8,NaN,NaN,false,false,NoRoot,0,0,8
6.2739999999999996e-6,1.778e-8,2.0486289215085565e-9,0.11987231889951658,true,true,Success,1,1,7
6.2739999999999996e-6,3.162e-8,2.0448493243295625e-9,0.11995493300982331,true,true,Success,1,1,0
6.2739999999999996e-6,5.623e-8,2.041077060431758e-9,0.12069910588796644,true,true,Success,1,1,0
6.2739999999999996e-6,1.0e-7,1.980299611574428e-9,0.11998315716624519,true,true,Success,1,1,0
6.2739999999999996e-6,1.778e-7,1.8445770437873729e-9,0.11988486739910659,true,true,Success,1,1,0
6.2739999999999996e-6,3.162e-7,1.537464035854998e-9,0.11918519921380415,true,true,Success,1,1,0
6.2739999999999996e-6,5.623e-7,1.0812849596605153e-9,0.11990163772952332,true,true,Success,1,1,0
6.2739999999999996e-6,1.0e-6,6.197552653868009e-10,0.11962654195206053,true,true,Success,1,1,0
6.2739999999999996e-6,1.778e-6,3.033810722249073e-10,0.11950370089281628,true,true,Success,1,1,0
6.2739999999999996e-6,3.162e-6,1.3335931847087515e-10,0.11962758274594947,true,true,Success,1,1,0
6.2739999999999996e-6,5.623e-6,5.464344189338127e-11,0.11979409573998809,true,true,Success,1,1,0
6.2739999999999996e-6,1.0e-5,2.1346551008793488e-11,0.11984532443318174,true,true,Success,1,1,0
6.2739999999999996e-6,1.778e-5,8.065371877728081e-12,0.11991868935975095,true,true,Success,1,1,0
6.2739999999999996e-6,3.162e-5,2.97086677771994e-12,0.11988988089604592,true,true,Success,1,1,0
6.2739999999999996e-6,5.623e-5,1.0733576171295447e-12,0.11985887422414067,true,true,Success,1,1,0
6.2739999999999996e-6,0.0001,3.811931385837512e-13,0.12001448838683461,true,true,Success,1,1,0
6.2739999999999996e-6,0.0001778,1.327844262405055e-13,0.11993333892061087,true,true,Success,1,1,0
6.2739999999999996e-6,0.0003162,4.4428794258362785e-14,0.11945457438059594,true,true,Success,1,1,0
6.2739999999999996e-6,0.0005623,1.2987928458253614e-14,0.119880490238386,true,true,Success,1,1,0
6.2739999999999996e-6,0.001,2.7189031248720877e-15,0.12570162723635345,true,true,Success,1,1,0
6.2739999999999996e-6,0.001778,6.349466822958939e-16,0.12003997825227215,true,true,Success,1,1,0
6.2739999999999996e-6,0.003162,1.785234696515129e-16,0.12039294557270731,true,true,Success,1,1,0
6.2739999999999996e-6,0.005623,5.462049983131075e-17,0.11998010580377264,true,true,Success,1,1,0
6.2739999999999996e-6,0.01,1.721822942662155e-17,0.12094547205753814,true,true,Success,1,1,0
6.2739999999999996e-6,0.01778,5.519882524506526e-18,0.12018888175703864,true,true,Success,1,1,0
6.2739999999999996e-6,0.03162,1.7833135335633386e-18,0.12004105446867501,true,true,Success,1,1,0
6.2739999999999996e-6,0.05623,5.78406905451694e-19,0.12000751397459941,true,true,Success,1,1,0
