# Projection from 2103.13242
# m_s [GeV]    sin^2 (2 theta)
4.147156e-6    6.670891e-12
4.203188e-6    5.984093e-12
4.278819e-6    5.314174e-12
4.343896e-6    4.745718e-12
4.408974e-6    4.244151e-12
4.499028e-6    3.772696e-12
4.652576e-6    3.346886e-12
4.802958e-6    2.992902e-12
4.953340e-6    2.669611e-12
5.103723e-6    2.372517e-12
5.246190e-6    2.112965e-12
5.388658e-6    1.880729e-12
5.531125e-6    1.681717e-12
5.681507e-6    1.502901e-12
5.839804e-6    1.336720e-12
6.006016e-6    1.190254e-12
6.180143e-6    1.088721e-12
6.354270e-6    1.001004e-12
6.528397e-6    9.160449e-13
6.702524e-6    8.265776e-13
6.876651e-6    7.447989e-13
7.050778e-6    6.742680e-13
7.224904e-6    6.127121e-13
7.399031e-6    5.578219e-13
7.573158e-6    5.102379e-13
7.747285e-6    4.691284e-13
7.921412e-6    4.317361e-13
8.095539e-6    4.040936e-13
8.269666e-6    3.839435e-13
8.443792e-6    3.644559e-13
8.617919e-6    3.419225e-13
8.792046e-6    3.188312e-13
8.966173e-6    2.974389e-13
9.140300e-6    2.835370e-13
9.314427e-6    2.723219e-13
9.488554e-6    2.611824e-13
9.662680e-6    2.486248e-13
9.836807e-6    2.363380e-13
1.001093e-5    2.240268e-13
1.018506e-5    2.096831e-13
1.035919e-5    1.958898e-13
1.053331e-5    1.842966e-13
1.070744e-5    1.765920e-13
1.088157e-5    1.694480e-13
1.105570e-5    1.634344e-13
1.122982e-5    1.588968e-13
1.140395e-5    1.546303e-13
1.157808e-5    1.507610e-13
1.175220e-5    1.471266e-13
1.192633e-5    1.437821e-13
1.210046e-5    1.398558e-13
1.227458e-5    1.355269e-13
1.244871e-5    1.315170e-13
1.262284e-5    1.290108e-13
1.279696e-5    1.275659e-13
1.297109e-5    1.257826e-13
1.314522e-5    1.208074e-13
1.331934e-5    1.153774e-13
1.349347e-5    1.105021e-13
1.366760e-5    1.102431e-13
1.384172e-5    1.107097e-13
1.401585e-5    1.106059e-13
1.418998e-5    1.077876e-13
1.436411e-5    1.047459e-13
1.453823e-5    1.027016e-13
1.471236e-5    1.026052e-13
1.488649e-5    1.026052e-13
1.506061e-5    1.023167e-13
1.523474e-5    1.013609e-13
1.540887e-5    1.004612e-13
1.558299e-5    9.956943e-14
1.575712e-5    9.868559e-14
1.593125e-5    9.776370e-14
1.610537e-5    9.739736e-14
1.627950e-5    9.694137e-14
1.645363e-5    9.680499e-14
1.662775e-5    9.563103e-14
1.680188e-5    9.429414e-14
1.697601e-5    9.297594e-14
1.715014e-5    9.236710e-14
1.732426e-5    9.184841e-14
1.749839e-5    9.163315e-14
1.767252e-5    9.258408e-14
1.784664e-5    9.385268e-14
1.802077e-5    9.496023e-14
1.819490e-5    9.554132e-14
1.836902e-5    9.608086e-14
1.854315e-5    9.680499e-14
1.871728e-5    9.808538e-14
1.889140e-5    9.942935e-14
1.906553e-5    9.989704e-14
1.923966e-5    9.924288e-14
1.941378e-5    9.859301e-14
1.958791e-5    9.919632e-14
1.976204e-5    1.011234e-13
1.989659e-5    1.024288e-13
