# Constraints from 1408.3531, digitized from 2203.07377
# m_s [GeV]    sin^2 (2 theta)
1.997375e-6    2.180575e-8
2.090881e-6    4.380555e-8
2.196286e-6    1.211849e-8
2.296475e-6    6.166766e-9
2.412246e-6    1.194182e-8
2.496455e-6    1.855292e-8
2.589520e-6    1.814869e-8
2.701461e-6    1.488474e-8
2.783004e-6    4.057725e-9
2.890056e-6    2.305298e-9
2.997795e-6    1.499445e-8
3.196092e-6    6.284466e-10
3.399720e-6    2.088880e-10
3.498337e-6    1.912692e-10
3.700001e-6    2.949837e-10
3.824787e-6    4.789324e-10
3.890974e-6    7.225369e-10
4.110568e-6    1.876870e-9
4.224969e-6    3.352492e-9
4.566692e-6    1.378780e-9
4.764102e-6    3.245305e-10
4.791426e-6    2.199058e-10
4.885504e-6    1.830252e-10
4.987129e-6    1.926789e-10
5.173045e-6    3.015540e-10
5.280652e-6    2.928256e-10
5.477510e-6    1.222121e-10
5.591451e-6    1.002329e-10
5.675212e-6    1.086650e-10
5.793265e-6    1.639364e-10
5.880050e-6    1.523299e-10
6.002364e-6    9.451441e-11
6.183545e-6    8.590938e-11
6.276176e-6    7.924306e-11
6.406730e-6    1.039813e-10
6.495271e-6    1.468385e-10
6.592572e-6    1.415451e-10
6.691330e-6    1.143965e-10
6.807122e-6    7.309403e-11
6.861842e-6    4.845026e-11
6.901197e-6    4.371693e-11
7.004579e-6    4.183265e-11
7.085156e-6    4.568607e-11
7.290677e-6    3.481686e-11
7.349284e-6    3.559235e-11
7.459379e-6    3.559235e-11
7.631984e-6    4.307959e-11
7.684540e-6    5.694489e-11
7.799656e-6    6.595313e-11
7.989268e-6    5.291325e-11
8.099680e-6    5.214185e-11
8.306080e-6    5.611471e-11
8.392025e-6    5.611471e-11
8.469166e-6    5.291325e-11
8.635455e-6    4.002960e-11
8.896116e-6    1.865185e-11
9.019060e-6    1.992614e-11
9.070787e-6    3.746968e-11
9.185633e-6    4.307959e-11
9.376708e-6    2.429557e-11
9.473731e-6    2.192202e-11
9.593679e-6    2.192202e-11
9.793242e-6    3.118560e-11
9.871966e-6    3.331620e-11
9.985528e-6    2.919126e-11
1.020491e-5    1.563814e-11
1.038150e-5    1.463807e-11
1.048892e-5    1.200549e-11
1.058534e-5    1.236335e-11
1.083027e-5    5.176037e-11
1.089239e-5    4.436369e-11
1.097995e-5    1.099288e-11
1.111897e-5    9.216685e-12
1.140231e-5    1.586950e-11
1.157312e-5    1.463807e-11
1.169287e-5    1.733132e-11
1.180035e-5    3.585467e-11
1.194976e-5    3.481686e-11
1.215654e-5    1.200549e-11
1.231046e-5    1.083262e-11
1.238106e-5    9.491413e-12
1.243784e-5    7.503810e-12
1.255217e-5    6.820629e-12
1.266755e-5    8.819431e-12
1.276938e-5    2.919126e-11
1.297550e-5    4.339709e-11
1.316988e-5    2.772871e-11
1.355190e-5    1.851539e-11
1.386548e-5    2.465500e-11
1.423508e-5    2.633943e-11
1.433311e-5    1.320801e-11
1.451458e-5    7.286613e-12
1.461454e-5    6.199647e-12
1.469835e-5    1.236335e-11
1.500410e-5    2.192202e-11
