# Constraints from 0710.4922
# m_s [GeV]    sin^2 (2 theta)
4.108019e-5    1.595087e-13
4.164604e-5    1.368056e-13
4.221967e-5    1.173339e-13
4.265508e-5    1.014957e-13
4.324261e-5    8.704968e-14
4.383824e-5    7.215542e-14
4.459433e-5    5.859130e-14
4.567480e-5    4.288413e-14
4.630393e-5    3.524470e-14
4.694173e-5    2.872015e-14
4.758831e-5    2.340343e-14
4.824379e-5    1.931653e-14
4.879692e-5    1.635656e-14
4.924399e-5    1.476517e-14
4.941269e-5    1.266362e-14
4.975184e-5    1.086120e-14
5.009331e-5    9.315309e-15
5.043712e-5    7.989450e-15
5.078330e-5    6.852302e-15
5.113185e-5    5.728524e-15
5.148279e-5    4.789046e-15
5.183614e-5    4.160306e-15
5.237072e-5    3.478016e-15
5.291082e-5    2.907621e-15
5.345648e-5    2.462072e-15
5.419279e-5    2.006289e-15
5.475168e-5    1.720732e-15
5.512747e-5    1.494822e-15
5.556915e-5    1.265763e-15
5.607826e-5    1.142612e-15
5.627037e-5    9.926019e-16
5.672121e-5    8.405006e-16
5.724088e-5    7.587251e-16
5.743698e-5    6.591144e-16
5.789716e-5    5.581150e-16
5.882862e-5    5.168726e-16
6.004826e-5    5.774861e-16
6.129319e-5    6.452078e-16
6.256393e-5    6.342941e-16
6.386101e-5    5.486745e-16
6.518499e-5    4.786778e-16
6.630924e-5    4.105471e-16
6.722259e-5    3.612401e-16
6.838199e-5    3.019967e-16
6.979970e-5    2.524692e-16
7.124679e-5    2.259698e-16
7.272389e-5    2.039843e-16
7.423161e-5    1.841379e-16
7.577059e-5    1.662224e-16
7.734147e-5    1.500500e-16
7.894493e-5    1.377816e-16
8.058162e-5    1.366114e-16
8.225225e-5    1.354511e-16
8.395751e-5    1.254418e-16
8.569813e-5    1.085091e-16
8.747484e-5    9.466619e-17
8.928837e-5    8.401027e-17
9.113951e-5    7.583659e-17
9.302903e-5    6.845816e-17
9.495772e-5    7.144100e-17
9.692639e-5    7.648623e-17
9.893588e-5    8.329672e-17
1.002986e-4    9.670659e-17
1.016802e-4    1.142071e-16
1.030807e-4    1.401523e-16
1.045006e-4    1.698051e-16
1.059400e-4    1.810232e-16
1.066671e-4    1.579293e-16
1.081363e-4    1.383705e-16
1.098760e-4    1.181710e-16
1.111358e-4    1.030955e-16
1.134399e-4    1.004908e-16
1.157917e-4    1.057677e-16
1.181923e-4    1.039786e-16
1.206427e-4    9.306491e-17
1.231439e-4    7.981887e-17
1.256969e-4    7.267022e-17
1.283029e-4    7.648623e-17
1.309629e-4    8.329672e-17
1.330698e-4    8.401027e-17
1.341360e-4    6.023629e-17
1.341360e-4    7.023258e-17
1.350566e-4    4.374625e-17
1.350566e-4    5.035753e-17
1.359836e-4    3.704279e-17
1.359836e-4    3.217955e-17
1.369169e-4    2.724852e-17
1.369169e-4    2.367115e-17
1.378566e-4    2.004390e-17
1.378566e-4    1.741240e-17
1.388028e-4    1.474421e-17
1.388028e-4    1.280849e-17
1.397555e-4    1.084578e-17
1.397555e-4    9.421868e-18
1.414384e-4    7.876681e-18
1.416805e-4    6.669698e-18
1.431416e-4    8.397050e-18
1.441241e-4    1.066232e-17
1.446178e-4    1.232616e-17
1.461092e-4    1.525595e-17
1.466098e-4    1.763661e-17
1.476161e-4    2.109643e-17
1.493936e-4    2.459741e-17
1.501620e-4    2.819427e-17
1.517106e-4    2.109643e-17
1.517106e-4    1.809375e-17
1.529261e-4    1.449481e-17
1.539757e-4    1.122221e-17
1.550325e-4    8.688496e-18
1.560966e-4    6.726833e-18
1.571680e-4    5.208068e-18
1.582467e-4    4.032206e-18
1.596965e-4    3.342293e-18
1.630074e-4    3.175541e-18
1.663868e-4    2.991482e-18
1.698364e-4    2.794156e-18
1.733575e-4    2.677493e-18
1.769515e-4    2.587680e-18
1.806201e-4    2.723562e-18
1.843648e-4    3.095311e-18
1.881870e-4    3.517801e-18
1.920885e-4    3.547936e-18
1.960709e-4    3.313905e-18
2.001359e-4    2.991482e-18
2.033557e-4    2.543909e-18
2.056873e-4    2.135797e-18
2.085204e-4    1.808519e-18
2.113926e-4    1.473723e-18
2.147935e-4    1.242586e-18
2.177521e-4    1.065727e-18
2.207514e-4    9.140411e-19
2.240474e-4    7.974332e-19
2.279115e-4    6.957013e-19
2.326366e-4    6.333937e-19
2.374597e-4    5.717684e-19
2.423827e-4    5.250196e-19
2.474078e-4    4.779983e-19
2.525371e-4    4.351883e-19
2.577728e-4    4.351883e-19
2.631169e-4    4.580407e-19
2.685719e-4    4.862228e-19
2.732040e-4    5.432420e-19
2.779160e-4    6.498111e-19
2.841633e-4    7.872952e-19
2.875852e-4    8.393075e-19
2.882416e-4    6.957013e-19
2.902200e-4    5.865885e-19
2.925452e-4    5.030987e-19
2.942175e-4    4.099643e-19
2.965748e-4    3.516136e-19
2.982701e-4    2.865223e-19
3.006598e-4    2.457413e-19
3.023785e-4    2.002492e-19
3.058453e-4    1.792309e-19
3.121862e-4    1.702888e-19
3.186584e-4    1.604186e-19
3.252649e-4    1.590561e-19
3.320083e-4    1.590561e-19
3.388916e-4    1.604186e-19
3.459175e-4    1.550376e-19
3.530891e-4    1.399534e-19
3.604094e-4    1.263368e-19
3.678815e-4    1.307217e-19
3.755084e-4    1.460514e-19
3.832935e-4    1.590561e-19
3.885730e-4    1.355475e-19
3.939253e-4    1.083551e-19
3.993512e-4    8.981547e-20
4.020922e-4    7.637765e-20
4.132454e-4    6.495035e-20
4.218128e-4    6.720465e-20
4.305579e-4    7.013288e-20
4.394843e-4    6.778035e-20
4.485957e-4    6.439869e-20
4.578961e-4    6.015078e-20
4.673892e-4    5.570589e-20
4.770792e-4    5.071681e-20
4.869701e-4    4.696905e-20
4.970660e-4    4.387085e-20
5.073712e-4    4.168207e-20
5.178901e-4    3.860194e-20
5.250236e-4    3.282647e-20
5.334702e-4    2.815424e-20
5.408183e-4    2.414702e-20
5.507734e-4    2.179766e-20
5.621921e-4    2.161252e-20
5.738475e-4    2.161252e-20
5.857446e-4    2.001544e-20
5.978884e-4    1.716662e-20
6.102839e-4    1.472328e-20
6.229363e-4    1.363529e-20
6.358511e-4    1.363529e-20
6.490337e-4    1.363529e-20
6.624895e-4    1.329079e-20
6.762243e-4    1.295500e-20
6.902439e-4    1.241410e-20
7.045541e-4    1.189578e-20
7.191610e-4    1.130228e-20
7.340708e-4    1.037819e-20
7.458806e-4    9.131759e-21
7.596104e-4    7.966783e-21
7.700733e-4    6.717283e-21
7.860386e-4    5.860332e-21
8.023348e-4    5.156503e-21
8.189689e-4    4.537204e-21
8.302495e-4    4.310836e-21
8.359479e-4    5.200675e-21
8.388118e-4    6.012231e-21
8.445689e-4    7.191664e-21
8.532789e-4    8.676162e-21
8.562021e-4    1.003006e-20
8.650320e-4    1.241410e-20
8.709692e-4    1.472328e-20
8.769470e-4    1.746199e-20
8.849814e-4    1.398871e-20
8.910555e-4    1.159523e-20
8.971713e-4    9.776652e-21
9.033290e-4    7.966783e-21
9.095290e-4    6.491960e-21
9.157715e-4    5.290158e-21
9.220569e-4    4.385008e-21
9.283854e-4    3.697269e-21
9.390297e-4    3.337548e-21
9.584977e-4    3.090917e-21
9.783694e-4    2.814091e-21
9.986531e-4    2.455086e-21
1.015877e-3    2.105651e-21
1.033398e-3    1.805951e-21
1.051221e-3    1.589055e-21
1.062062e-3    1.374558e-21
1.076691e-3    1.178916e-21
1.094013e-3    1.011119e-21
1.114151e-3    9.049911e-22
1.137250e-3    8.973045e-22
1.160828e-3    9.049911e-22
1.184894e-3    8.746342e-22
1.209459e-3    7.565725e-22
