# Constraints from 1311.0282, digitized from 2203.07377
# m_s [GeV]    sin^2 (2 theta)
1.997375e-6    2.658734e-8
2.098067e-6    4.316692e-8
2.203836e-6    1.229777e-8
2.299104e-6    5.523597e-9
2.398490e-6    7.464012e-9
2.502172e-6    4.497064e-9
2.598421e-6    5.324475e-9
2.698373e-6    4.028038e-9
2.798966e-6    7.332264e-10
2.899990e-6    1.620517e-9
2.994368e-6    1.668821e-9
3.098898e-6    2.565703e-10
3.199750e-6    1.479207e-10
3.296334e-6    1.394815e-10
3.395834e-6    3.441658e-10
3.498337e-6    5.116529e-10
3.595699e-6    4.483043e-10
3.700001e-6    1.743990e-9
3.798628e-6    8.186034e-10
3.895427e-6    8.617807e-10
3.994692e-6    1.074157e-9
4.096487e-6    1.608661e-9
4.200876e-6    4.839711e-9
4.298081e-6    3.969315e-9
4.392509e-6    5.208465e-9
4.499292e-6    3.174595e-10
4.592884e-6    8.977901e-11
4.699160e-6    6.451613e-11
4.796909e-6    6.791904e-11
4.885504e-6    7.751650e-11
4.992837e-6    1.032206e-10
5.056052e-6    2.104275e-10
5.096695e-6    3.317589e-10
5.196767e-6    5.005050e-10
5.298803e-6    3.956939e-10
5.496338e-6    1.047477e-10
5.701237e-6    5.489207e-11
5.799895e-6    3.006138e-11
5.900261e-6    2.429557e-11
6.099253e-6    2.813894e-11
6.290550e-6    4.062181e-11
6.384784e-6    4.307959e-11
6.517597e-6    4.307959e-11
6.600117e-6    4.214096e-11
6.776050e-6    3.307245e-11
6.901197e-6    2.962313e-11
6.988574e-6    3.006138e-11
7.093264e-6    3.585467e-11
7.183073e-6    3.611892e-11
7.290677e-6    2.897769e-11
7.391435e-6    2.813894e-11
7.579787e-6    3.665328e-11
7.693334e-6    3.719554e-11
7.889380e-6    2.359233e-11
7.989268e-6    2.113175e-11
8.099680e-6    2.144438e-11
8.287101e-6    2.614673e-11
8.392025e-6    2.752584e-11
8.478859e-6    2.712455e-11
8.596037e-6    2.394137e-11
8.694921e-6    1.920782e-11
8.794943e-6    1.682966e-11
8.988166e-6    2.082367e-11
9.081168e-6    1.949198e-11
9.387439e-6    1.099288e-11
9.670799e-6    7.023936e-12
9.996956e-6    3.063514e-12
