# Constraints from 1908.09037, digitized from 2203.07377
# m_s [GeV]    sin^2 (2 theta)
7.510746e-6    3.235186e-11
7.799656e-6    2.940640e-11
8.127520e-6    2.465500e-11
8.230424e-6    1.963564e-11
8.420870e-6    1.797946e-11
8.537247e-6    2.067132e-11
8.635455e-6    2.144438e-11
8.988166e-6    1.218310e-11
9.122811e-6    1.254625e-11
9.248888e-6    1.165799e-11
9.452084e-6    1.236335e-11
9.974113e-6    6.109264e-12
1.044104e-5    2.825794e-12
1.071936e-5    2.825794e-12
1.146770e-5    1.326387e-12
1.167950e-5    1.269217e-12
1.228233e-5    1.491745e-12
1.250917e-5    2.075875e-12
1.262416e-5    2.169379e-12
1.290151e-5    7.425687e-13
1.306486e-5    5.297136e-13
1.318495e-5    3.642508e-13
1.339778e-5    2.755607e-13
1.358294e-5    2.715434e-13
1.381799e-5    2.879728e-13
1.404104e-5    3.723639e-13
1.436594e-5    3.891363e-13
1.469835e-5    3.669353e-13
1.519407e-5    3.642508e-13
1.588718e-5    4.779634e-13
1.618061e-5    4.607332e-13
1.634803e-5    2.922332e-13
1.663093e-5    2.069403e-13
1.678380e-5    2.146793e-13
1.697688e-5    2.617544e-13
1.719182e-5    2.675846e-13
1.787356e-5    1.312578e-13
1.832902e-5    9.929828e-14
1.851868e-5    6.679347e-14
1.894719e-5    5.767045e-14
1.927506e-5    6.298277e-14
1.956381e-5    9.159302e-14
1.963105e-5    1.246814e-13
1.990235e-5    1.193074e-13
2.013130e-5    9.857180e-14
2.040952e-5    1.068642e-13
2.062070e-5    1.351702e-13
2.092960e-5    1.265260e-13
2.131615e-5    9.785064e-14
2.161074e-5    9.857180e-14
2.200987e-5    7.241247e-14
2.236515e-5    6.344695e-14
2.275217e-5    4.695268e-14
2.290885e-5    3.850850e-14
2.330528e-5    2.934691e-14
2.501798e-5    2.371813e-14
2.574368e-5    3.766947e-14
2.606963e-5    3.712029e-14
2.655111e-5    2.320135e-14
2.688727e-5    2.320135e-14
2.735255e-5    2.767261e-14
2.763557e-5    2.808201e-14
2.811380e-5    4.362848e-14
2.837223e-5    4.592967e-14
2.886320e-5    3.300554e-14
2.942992e-5    3.022167e-14
3.004211e-5    3.526048e-14
3.045729e-5    4.764732e-14
3.080766e-5    4.695268e-14
3.123342e-5    5.478102e-14
3.155660e-5    5.127773e-14
3.217620e-5    3.604585e-14
3.265821e-5    4.299243e-14
3.383695e-5    4.764732e-14
3.454081e-5    2.236496e-14
3.505824e-5    2.934691e-14
3.566492e-5    2.747015e-14
3.628209e-5    2.337235e-14
3.720665e-5    1.357419e-14
3.802407e-5    1.630947e-14
3.846148e-5    1.318129e-14
3.930647e-5    9.971824e-15
4.026202e-5    9.971824e-15
4.109953e-5    1.667274e-14
4.176295e-5    1.279976e-14
4.195446e-5    9.971824e-15
4.534781e-5    9.971824e-15
4.560790e-5    1.847793e-14
4.618534e-5    9.971824e-15
5.003523e-5    9.971824e-15
