# Constraints from 2102.02207
# m_s [GeV]    sin^2 (2 theta)
5.051104e-6    1.010767e-10
5.096688e-6    7.912958e-11
5.142272e-6    6.948010e-11
5.177003e-6    7.055129e-11
5.177006e-6    1.504557e-4
5.294210e-6    1.527753e-4
5.294220e-6    6.842518e-11
5.402754e-6    4.225846e-11
5.424460e-6    5.651445e-11
5.446167e-6    5.738574e-11
5.463533e-6    6.194790e-11
5.506946e-6    6.147582e-11
5.537336e-6    5.871793e-11
5.585091e-6    5.077476e-11
5.628504e-6    4.390611e-11
5.665406e-6    3.654186e-11
5.702307e-6    2.882708e-11
5.728355e-6    2.239578e-11
5.745721e-6    1.807769e-11
5.763086e-6    1.426109e-11
5.782622e-6    1.058241e-11
5.802158e-6    9.878349e-12
5.902009e-6    9.544083e-12
5.991007e-6    9.471352e-12
6.053957e-6    7.792815e-12
6.071322e-6    8.034954e-12
6.106053e-6    8.221483e-12
6.171173e-6    1.936615e-11
6.186368e-6    2.155534e-11
6.186373e-6    1.539485e-4
6.294896e-6    1.539485e-4
6.294902e-6    2.139107e-11
6.314438e-6    1.713512e-11
6.323121e-6    1.713512e-11
6.346998e-6    1.291111e-11
6.370876e-6    1.018529e-11
6.394753e-6    7.674495e-12
6.409948e-6    6.687275e-12
6.422972e-6    6.147582e-12
6.444679e-6    5.827047e-12
6.466386e-6    6.194790e-12
6.483751e-6    6.790374e-12
6.505458e-6    7.674495e-12
6.527164e-6    8.807456e-12
6.548871e-6    1.018529e-11
6.572749e-6    1.159984e-11
6.596626e-6    1.301025e-11
6.627016e-6    1.448096e-11
6.661746e-6    1.557252e-11
6.700819e-6    1.636641e-11
6.731208e-6    1.668242e-11
6.761598e-6    1.661874e-11
6.796328e-6    1.599509e-11
6.826718e-6    1.476057e-11
6.848425e-6    1.362132e-11
6.867961e-6    1.233190e-11
6.885326e-6    1.107945e-11
6.900521e-6    1.003065e-11
6.917886e-6    8.875090e-12
6.939593e-6    7.616011e-12
6.965641e-6    6.266282e-12
6.989519e-6    5.275445e-12
7.019908e-6    4.632130e-12
7.076346e-6    3.944694e-12
7.119759e-6    3.437262e-12
7.154490e-6    3.220872e-12
7.174026e-6    3.208576e-12
7.204416e-6    3.088169e-12
7.239147e-6    3.064635e-12
7.273877e-6    3.088169e-12
7.325974e-6    3.411068e-12
7.369387e-6    3.884801e-12
7.408459e-6    4.407436e-12
7.430166e-6    4.667701e-12
7.458385e-6    4.812736e-12
7.490945e-6    4.776060e-12
7.527847e-6    4.458302e-12
7.551724e-6    4.193642e-12
7.573431e-6    3.974985e-12
7.595138e-6    3.517057e-12
7.638551e-6    2.711581e-12
7.668941e-6    2.326898e-12
7.690647e-6    2.106629e-12
7.725378e-6    1.996789e-12
7.751426e-6    1.936615e-12
7.751431e-6    1.539485e-4
7.851273e-6    1.527753e-4
7.851278e-6    2.753386e-12
7.872984e-6    3.018104e-12
7.886008e-6    3.018104e-12
8.033614e-6    5.608377e-12
8.059663e-6    6.054242e-12
8.085711e-6    6.485749e-12
8.111759e-6    6.738627e-12
8.146490e-6    6.738627e-12
8.181221e-6    6.436324e-12
8.209439e-6    6.008105e-12
8.237658e-6    5.481134e-12
8.261536e-6    4.886935e-12
8.281072e-6    4.390611e-12
8.300608e-6    3.796663e-12
8.324485e-6    3.258043e-12
8.350533e-6    2.650061e-12
8.372240e-6    2.291569e-12
8.400459e-6    1.996789e-12
8.428678e-6    1.821651e-12
8.476433e-6    1.807769e-12
8.524188e-6    1.907211e-12
8.558918e-6    1.878253e-12
8.637063e-6    2.629866e-12
8.663111e-6    2.882708e-12
8.689159e-6    3.041281e-12
8.719548e-6    3.135779e-12
8.754279e-6    3.147796e-12
8.793352e-6    3.111883e-12
8.832424e-6    3.041281e-12
8.867155e-6    3.041281e-12
8.910568e-6    3.111883e-12
8.949640e-6    3.184124e-12
8.993054e-6    3.196327e-12
9.034297e-6    3.064635e-12
9.064686e-6    2.849819e-12
9.099417e-6    2.550613e-12
9.129806e-6    2.222511e-12
9.155855e-6    1.921856e-12
9.177561e-6    1.700454e-12
9.210122e-6    1.459216e-12
9.223146e-6    1.351752e-12
9.253535e-6    1.286182e-12
9.292607e-6    1.383133e-12
9.318655e-6    1.539485e-12
9.349045e-6    1.720078e-12
9.379434e-6    1.921856e-12
9.407653e-6    2.090575e-12
9.435872e-6    2.239578e-12
9.470603e-6    2.309166e-12
9.509675e-6    2.309166e-12
9.544406e-6    2.222511e-12
9.579137e-6    2.090575e-12
9.618209e-6    1.951486e-12
9.657281e-6    1.807769e-12
9.705036e-6    1.674635e-12
9.809228e-6    1.521921e-12
9.850471e-6    1.448096e-12
9.976371e-6    1.058241e-12
1.003064e-5    9.654229e-13
1.006754e-5    9.471352e-13
1.009142e-5    9.580658e-13
1.012181e-5    1.003065e-12
1.015220e-5    1.091123e-12
1.022383e-5    1.383133e-12
1.024771e-5    1.493091e-12
1.029112e-5    1.649209e-12
1.033019e-5    1.766754e-12
1.036492e-5    1.835639e-12
1.040834e-5    1.885451e-12
1.044741e-5    1.892677e-12
1.049950e-5    1.871083e-12
1.055594e-5    1.814696e-12
1.060370e-5    1.766754e-12
1.065362e-5    1.700454e-12
1.068618e-5    1.624169e-12
1.072308e-5    1.516111e-12
1.074913e-5    1.426109e-12
1.078386e-5    1.252202e-12
1.078391e-5    1.539485e-4
1.089018e-5    1.533608e-4
1.089023e-5    1.252202e-12
1.090542e-5    1.177867e-12
1.091410e-5    6.790374e-13
1.101178e-5    5.356778e-13
1.104651e-5    5.019546e-13
1.108559e-5    4.776060e-13
1.113768e-5    4.561800e-13
1.118978e-5    4.458302e-13
1.125056e-5    4.357151e-13
1.129397e-5    4.323947e-13
1.133304e-5    4.323947e-13
1.137212e-5    5.782641e-13
1.139382e-5    6.687275e-13
1.141770e-5    7.616011e-13
1.145026e-5    8.740338e-13
1.148065e-5    9.654229e-13
1.149802e-5    1.026350e-12
1.153709e-5    1.223792e-12
1.157182e-5    1.377852e-12
1.161957e-5    1.599509e-12
1.166299e-5    1.766754e-12
1.171508e-5    1.892677e-12
1.178454e-5    2.027574e-12
1.178458e-5    1.539485e-4
1.187780e-5    1.545384e-4
1.187788e-5    2.239578e-12
1.190610e-5    2.291569e-12
1.192347e-5    1.996789e-12
1.196254e-5    1.966472e-12
1.201030e-5    1.878253e-12
1.206239e-5    1.753290e-12
1.210146e-5    1.624169e-12
1.214488e-5    1.470422e-12
1.218829e-5    1.383133e-12
1.223605e-5    1.281272e-12
1.227512e-5    1.177867e-12
1.231853e-5    1.082808e-12
1.235326e-5    1.010767e-12
1.239233e-5    9.654229e-13
1.243575e-5    9.654229e-13
1.248350e-5    1.058241e-12
1.251823e-5    1.168891e-12
1.255731e-5    1.301025e-12
1.259204e-5    1.426109e-12
1.262243e-5    1.539485e-12
1.266584e-5    1.661874e-12
1.270491e-5    1.713512e-12
1.271359e-5    2.927151e-12
