# Projection from 2103.13241
# m_s [GeV]    sin^2 (2 theta)
2.125543e-6    1.005269e-10
2.238936e-6    7.935750e-11
2.385680e-6    5.975235e-11
2.519084e-6    4.594628e-11
2.659158e-6    3.496082e-11
2.899285e-6    2.632380e-11
3.159423e-6    1.920539e-11
3.406220e-6    1.430955e-11
3.639677e-6    1.077440e-11
3.813102e-6    8.731912e-12
4.006538e-6    6.965935e-12
4.660217e-6    8.964371e-12
5.333907e-6    4.551242e-12
5.980916e-6    2.762684e-12
6.647935e-6    1.862835e-12
7.161540e-6    1.439965e-12
7.988645e-6    9.116116e-13
8.575622e-6    7.910307e-13
9.175940e-6    6.792235e-13
9.376046e-6    6.410762e-13
1.002305e-5    5.222856e-13
1.063671e-5    4.604027e-13
1.133708e-5    3.810505e-13
1.197075e-5    3.577647e-13
1.265111e-5    3.055869e-13
1.335815e-5    2.794725e-13
1.389844e-5    2.651662e-13
1.434534e-5    2.476572e-13
1.481226e-5    2.300921e-13
1.530585e-5    2.093264e-13
1.601289e-5    2.104293e-13
1.664656e-5    1.986109e-13
1.734026e-5    2.028297e-13
1.798727e-5    1.825953e-13
1.866096e-5    1.965346e-13
1.933465e-5    1.944799e-13
2.000167e-5    2.194638e-13
