# Projection from 2001.07014
# m_s [GeV]    sin^2 (2 theta)
4.001200e-6    6.581477e-11
4.017847e-6    5.705586e-11
4.034565e-6    4.959864e-11
4.051351e-6    4.323465e-11
4.087559e-6    3.568674e-11
4.102132e-6    3.029484e-11
4.127760e-6    2.677272e-11
4.136339e-6    2.366029e-11
4.162181e-6    2.090951e-11
4.170831e-6    1.847869e-11
4.191664e-6    1.621864e-11
4.223109e-6    1.402154e-11
4.255379e-6    1.209990e-11
4.290863e-6    1.037966e-11
4.326644e-6    8.822849e-12
4.362723e-6    7.482395e-12
4.405196e-6    6.462826e-12
4.475871e-6    5.643128e-12
4.550829e-6    5.047226e-12
4.646294e-6    4.647873e-12
4.712381e-6    4.266833e-12
4.789341e-6    3.838790e-12
4.842036e-6    3.375420e-12
4.916183e-6    2.849596e-12
4.983152e-6    2.348154e-12
5.048606e-6    2.043484e-12
5.111886e-6    1.765024e-12
5.179031e-6    1.522017e-12
5.267500e-6    1.335979e-12
5.363487e-6    1.216944e-12
5.466264e-6    1.094588e-12
5.577623e-6    1.023122e-12
5.656334e-6    9.004413e-13
5.755754e-6    8.251445e-13
5.832221e-6    7.531899e-13
5.925498e-6    6.997515e-13
5.996212e-6    6.244855e-13
6.100249e-6    5.773389e-13
6.173048e-6    5.152397e-13
6.280153e-6    4.763408e-13
6.355099e-6    4.251051e-13
6.465362e-6    3.930110e-13
6.542518e-6    3.507384e-13
6.656034e-6    3.242588e-13
6.735465e-6    2.893812e-13
6.855039e-6    2.707010e-13
6.975355e-6    2.415815e-13
7.113237e-6    2.207285e-13
7.275390e-6    2.039820e-13
7.428010e-6    1.920149e-13
7.562868e-6    1.825801e-13
7.718847e-6    1.525507e-13
7.872593e-6    1.446899e-13
8.037740e-6    1.365758e-13
8.195002e-6    1.260003e-13
8.322160e-6    1.116044e-13
8.468437e-6    1.051194e-13
8.569497e-6    9.381264e-14
8.718181e-6    8.673009e-14
8.822222e-6    7.740131e-14
8.975291e-6    7.155776e-14
9.082401e-6    6.386094e-14
9.239984e-6    5.903964e-14
9.333628e-6    5.381762e-14
9.512482e-6    5.006769e-14
9.608888e-6    4.601680e-14
9.793017e-6    4.279362e-14
1.001626e-5    4.088792e-14
1.020819e-5    3.715395e-14
1.034023e-5    3.370404e-14
1.050925e-5    3.163171e-14
1.067653e-5    2.825685e-14
1.088354e-5    2.632062e-14
1.103522e-5    2.379865e-14
1.125113e-5    2.246411e-14
1.148715e-5    2.097269e-14
1.172812e-5    1.985101e-14
1.197415e-5    1.878931e-14
1.222534e-5    1.742982e-14
1.245960e-5    1.579053e-14
1.259459e-5    1.424963e-14
1.280847e-5    1.276679e-14
1.302177e-5    1.164961e-14
1.314282e-5    1.041703e-14
1.337086e-5    9.668436e-15
1.361899e-5    8.924463e-15
1.390469e-5    8.493679e-15
1.419637e-5    8.039410e-15
1.446841e-5    7.316708e-15
1.464541e-5    6.663419e-15
1.489510e-5    6.229215e-15
1.523465e-5    6.057823e-15
1.555423e-5    6.417191e-15
1.588052e-5    6.613730e-15
1.608911e-5    5.814996e-15
1.632342e-5    4.852299e-15
1.641688e-5    4.192106e-15
1.669182e-5    3.661662e-15
1.695962e-5    3.299452e-15
1.730042e-5    3.430212e-15
1.755497e-5    4.036615e-15
1.785320e-5    4.122906e-15
1.797469e-5    3.541624e-15
1.812457e-5    2.976176e-15
1.827571e-5    2.529789e-15
1.845363e-5    2.180079e-15
1.874970e-5    1.949392e-15
1.914302e-5    1.838629e-15
1.954459e-5    1.726014e-15
1.995459e-5    1.624753e-15
2.032491e-5    1.457960e-15
2.071438e-5    1.354067e-15
2.097402e-5    1.224328e-15
2.140130e-5    1.118645e-15
2.181787e-5    1.006459e-15
